timestamp,date,open,high,low,close,volume
1652672700,2022-05-16,3415.00,3430.00,3366.60,3376.80,1195813
1652759100,2022-05-17,3370.00,3467.00,3350.40,3451.60,1754076
1652845500,2022-05-18,3465.00,3495.00,3443.05,3448.80,1866781
1652931900,2022-05-19,3397.00,3405.00,3230.00,3261.95,4642963
1653018300,2022-05-20,3310.00,3313.90,3270.05,3293.00,3065125
1653277500,2022-05-23,3304.80,3338.90,3267.00,3321.75,2293690
1653363900,2022-05-24,3315.15,3324.85,3275.60,3288.00,1711510
1653450300,2022-05-25,3292.85,3292.85,3154.05,3167.65,3548046
1653536700,2022-05-26,3191.00,3241.50,3180.55,3226.95,2813186
1653623100,2022-05-27,3253.20,3278.90,3229.20,3261.30,3103153
1653882300,2022-05-30,3297.00,3386.60,3286.35,3375.25,2094624
1653968700,2022-05-31,3354.15,3383.40,3325.00,3364.35,4840965
1654055100,2022-06-01,3388.00,3388.00,3340.05,3355.20,1493835
1654141500,2022-06-02,3355.00,3432.00,3346.30,3423.00,2657939
1654227900,2022-06-03,3459.40,3477.30,3431.20,3440.15,1913622
1654487100,2022-06-06,3418.00,3453.00,3377.15,3430.95,1084210
1654573500,2022-06-07,3401.05,3418.85,3356.00,3362.70,2308256
1654659900,2022-06-08,3380.15,3413.95,3346.50,3404.15,2185707
1654746300,2022-06-09,3385.00,3437.00,3353.10,3427.10,1279197
1654832700,2022-06-10,3382.00,3393.00,3352.00,3359.90,1527582
1655091900,2022-06-13,3290.00,3293.00,3192.45,3219.60,3030921
1655178300,2022-06-14,3190.00,3238.90,3174.70,3210.55,2611493
1655264700,2022-06-15,3218.50,3234.00,3201.00,3206.30,1404536
1655351100,2022-06-16,3240.00,3244.85,3133.05,3142.00,2032028
1655437500,2022-06-17,3092.00,3118.75,3023.85,3088.90,5240434
1655696700,2022-06-20,3094.00,3138.75,3069.00,3112.40,1502769
1655783100,2022-06-21,3130.00,3237.75,3125.40,3211.95,2964461
1655869500,2022-06-22,3199.90,3250.55,3183.00,3222.95,3336315
1655955900,2022-06-23,3222.95,3318.00,3222.95,3308.80,3692578
1656042300,2022-06-24,3339.00,3345.00,3277.50,3293.10,2132118
1656301500,2022-06-27,3350.00,3362.90,3306.50,3314.70,2037686
1656387900,2022-06-28,3307.00,3330.00,3272.60,3318.15,1400046
1656474300,2022-06-29,3271.00,3333.00,3271.00,3290.50,2133994
1656560700,2022-06-30,3272.00,3310.90,3255.00,3267.10,2719603
1656647100,2022-07-01,3260.00,3333.00,3252.05,3315.10,1502879
